JobId|Link|Job Title|Post Date|Business|Province/State|City|Salary
41442220|https://www.jobbank.gc.ca/jobsearch/jobposting/41442220?source=searchresults|food counter attendant|July-11-2024|Vansuya Foods Corp.|British Columbia|Vancouver|Salary: $21.00 hourly
41442218|https://www.jobbank.gc.ca/jobsearch/jobposting/41442218?source=searchresults|liquor store supervisor|July-11-2024|1306185 B.C. LTD|British Columbia|Merritt|Salary: $25.50 hourly
41442211|https://www.jobbank.gc.ca/jobsearch/jobposting/41442211?source=searchresults|transportation manager|July-11-2024|K Bajwa Trucking Ltd.|British Columbia|Abbotsford|Salary: $50.00 hourly
41442207|https://www.jobbank.gc.ca/jobsearch/jobposting/41442207?source=searchresults|cleaning supervisor|July-11-2024|M&N Janitorial Services LTD|British Columbia|Abbotsford|Salary: $28.85 hourly
41442208|https://www.jobbank.gc.ca/jobsearch/jobposting/41442208?source=searchresults|cook|July-11-2024|Butter Baked Goods Ltd.|British Columbia|Vancouver|Salary: $21.80 hourly
41442189|https://www.jobbank.gc.ca/jobsearch/jobposting/41442189?source=searchresults|electrician|July-11-2024|24K CONTRACTING LTD.|British Columbia|Surrey|Salary: $28.00 hourly
41442186|https://www.jobbank.gc.ca/jobsearch/jobposting/41442186?source=searchresults|construction painters supervisor|July-11-2024|TRIKON PAINTING LTD|British Columbia|Victoria|Salary: $35.00 hourly
41442185|https://www.jobbank.gc.ca/jobsearch/jobposting/41442185?source=searchresults|finish carpenter|July-11-2024|Dream House Kitchens & Interiors|British Columbia|Duncan|Salary: $22.00 to $32.00 hourly (to be negotiated)
41442183|https://www.jobbank.gc.ca/jobsearch/jobposting/41442183?source=searchresults|administrative assistant|July-11-2024|Motor City Mechanics|British Columbia|Victoria|Salary: $25.00 hourly
41442182|https://www.jobbank.gc.ca/jobsearch/jobposting/41442182?source=searchresults|painter helper - construction|July-11-2024|TRIKON PAINTING LTD|British Columbia|Surrey|Salary: $23.00 hourly
41442179|https://www.jobbank.gc.ca/jobsearch/jobposting/41442179?source=searchresults|painter|July-11-2024|TRIKON PAINTING LTD|British Columbia|Surrey|Salary: $28.85 hourly
41442177|https://www.jobbank.gc.ca/jobsearch/jobposting/41442177?source=searchresults|administrative manager|July-11-2024|Save On BlackTop|British Columbia|Surrey|Salary: $50.00 hourly
41442174|https://www.jobbank.gc.ca/jobsearch/jobposting/41442174?source=searchresults|office administrator|July-11-2024|Save On BlackTop|British Columbia|Surrey|Salary: $28.85 hourly
41442169|https://www.jobbank.gc.ca/jobsearch/jobposting/41442169?source=searchresults|asphalt raker|July-11-2024|Save On BlackTop|British Columbia|Surrey|Salary: $23.25 hourly
41442164|https://www.jobbank.gc.ca/jobsearch/jobposting/41442164?source=searchresults|bookkeeper|July-11-2024|Geyser Transport Ltd.|British Columbia|Surrey|Salary: $30.00 hourly
41442160|https://www.jobbank.gc.ca/jobsearch/jobposting/41442160?source=searchresults|construction cleaner|July-11-2024|1164610 B.C. LTD.|British Columbia|Abbotsford|Salary: $27.50 hourly
41442147|https://www.jobbank.gc.ca/jobsearch/jobposting/41442147?source=searchresults|food counter attendant|July-11-2024|Popeye's Louisiana Kitchen|British Columbia|Surrey|Salary: $17.40 hourly
41442149|https://www.jobbank.gc.ca/jobsearch/jobposting/41442149?source=searchresults|office administrator|July-11-2024|Sapphire Canada Logistics Inc.|British Columbia|Surrey|Salary: $28.85 hourly
41442146|https://www.jobbank.gc.ca/jobsearch/jobposting/41442146?source=searchresults|kitchen supervisor|July-11-2024|PK 96th Ave Food Inc|British Columbia|Langley|Salary: $20.00 hourly
41442131|https://www.jobbank.gc.ca/jobsearch/jobposting/41442131?source=searchresults|drywall installer|July-11-2024|SHARP EDGE DRYWALL LTD.|British Columbia|Surrey|Salary: $27.50 hourly
