JobId|Link|Job Title|Post Date|Business|Province/State|City|Salary
41441328|https://www.jobbank.gc.ca/jobsearch/jobposting/41441328?source=searchresults|administrative assistant|July-11-2024|A&M Canadian Immigration Law Corporation|Manitoba|Winnipeg|Salary: $16.00 hourly
41441300|https://www.jobbank.gc.ca/jobsearch/jobposting/41441300?source=searchresults|administrative assistant - office|July-11-2024|Newest Immigration Consulting Ltd.|Manitoba|Winnipeg|Salary: $15.30 hourly
41441295|https://www.jobbank.gc.ca/jobsearch/jobposting/41441295?source=searchresults|store manager - retail|July-11-2024|Everyday Groceries Ltd.|Manitoba|Winnipeg|Salary: $36.50 hourly
41441294|https://www.jobbank.gc.ca/jobsearch/jobposting/41441294?source=searchresults|meat cutter - retail or wholesale|July-11-2024|Everyday Groceries Ltd.|Manitoba|Winnipeg|Salary: $16.50 hourly
41441292|https://www.jobbank.gc.ca/jobsearch/jobposting/41441292?source=searchresults|bookkeeper|July-11-2024|Everyday Groceries Ltd.|Manitoba|Winnipeg|Salary: $24.00 hourly
41441291|https://www.jobbank.gc.ca/jobsearch/jobposting/41441291?source=searchresults|cashier|July-11-2024|Everyday Groceries Ltd.|Manitoba|Winnipeg|Salary: $15.50 hourly
41441124|https://www.jobbank.gc.ca/jobsearch/jobposting/41441124?source=searchresults|fundraiser|July-11-2024|Candaina LifeLight Ministries Inc|Manitoba|Winnipeg|Salary: $25.00 hourly
41440941|https://www.jobbank.gc.ca/jobsearch/jobposting/41440941?source=searchresults|general labourer - manufacturing|July-11-2024|Regional Products Ltd.|Manitoba|Winnipeg|Salary: $16.50 hourly
41440861|https://www.jobbank.gc.ca/jobsearch/jobposting/41440861?source=searchresults|kitchen helper|July-11-2024|Freshii (Dakota St)|Manitoba|Winnipeg|Salary: $15.30 hourly
41440497|https://www.jobbank.gc.ca/jobsearch/jobposting/41440497?source=searchresults|administrative assistant|July-11-2024|Voyageur Door & Window 1990 Ltd.|Manitoba|Winnipeg|Salary: $22.86 hourly
41440341|https://www.jobbank.gc.ca/jobsearch/jobposting/41440341?source=searchresults|construction helper|July-11-2024|Hunjan renovation Ltd.|Manitoba|Winnipeg|Salary: $25.00 hourly
41440059|https://www.jobbank.gc.ca/jobsearch/jobposting/41440059?source=searchresults|long haul truck driver|July-11-2024|FOXRIVER LOGISTICS|Manitoba|Steinbach|Salary: $24.00 hourly
41440039|https://www.jobbank.gc.ca/jobsearch/jobposting/41440039?source=searchresults|cook|July-11-2024|McDonald's|Manitoba|Swan River|Salary: $15.50 hourly
41439953|https://www.jobbank.gc.ca/jobsearch/jobposting/41439953?source=searchresults|mechanic helper|July-11-2024|Sasco ltd|Manitoba|Libau|Salary: $22.00 hourly
41439952|https://www.jobbank.gc.ca/jobsearch/jobposting/41439952?source=searchresults|sales associate - retail|July-11-2024|10163823 MANITOBA INC.|Manitoba|Winnipeg|Salary: $25.00 hourly
41439951|https://www.jobbank.gc.ca/jobsearch/jobposting/41439951?source=searchresults|cashier|July-11-2024|10163823 MANITOBA INC.|Manitoba|Winnipeg|Salary: $25.00 hourly
41439948|https://www.jobbank.gc.ca/jobsearch/jobposting/41439948?source=searchresults|administrative assistant|July-11-2024|Clearway Brokerage Inc.|Manitoba|Winnipeg|Salary: $25.00 hourly
41439949|https://www.jobbank.gc.ca/jobsearch/jobposting/41439949?source=searchresults|retail store supervisor|July-11-2024|10163823 MANITOBA INC.|Manitoba|Winnipeg|Salary: $25.00 hourly
41439944|https://www.jobbank.gc.ca/jobsearch/jobposting/41439944?source=searchresults|mechanic, car|July-11-2024|MAPLE LEAF TRANSIT|Manitoba|Winnipeg|Salary: $16.00 to $18.00 hourly (to be negotiated)
41439931|https://www.jobbank.gc.ca/jobsearch/jobposting/41439931?source=searchresults|assistant cook|July-11-2024|DENNY'S RESTAURANTS|Manitoba|Winnipeg|Salary: $15.30 to $17.30 hourly (to be negotiated)
41439756|https://www.jobbank.gc.ca/jobsearch/jobposting/41439756?source=searchresults|kitchen helper|July-11-2024|Wayback Burgers|Manitoba|Winnipeg|Salary: $15.50 hourly
41439273|https://www.jobbank.gc.ca/jobsearch/jobposting/41439273?source=searchresults|CAD (computer-assisted drafting) technician|July-11-2024|JH Building Materials Ltd.|Manitoba|Winnipeg|Salary: $28.00 hourly
41438607|https://www.jobbank.gc.ca/jobsearch/jobposting/41438607?source=searchresults|restaurant manager|July-11-2024|Hi-Flyer Food (Canada) Inc.|Manitoba|Brandon|Salary: $24.00 hourly
41435743|https://www.jobbank.gc.ca/jobsearch/jobposting/41435743?source=searchresults|farm supervisor|July-10-2024|Mishra Farms|Manitoba|St. Laurent|Salary: $22.00 hourly
41435730|https://www.jobbank.gc.ca/jobsearch/jobposting/41435730?source=searchresults|bookkeeper|July-10-2024|Howard Johnson by Wyndham|Manitoba|Portage la Prairie|Salary: $25.00 hourly
41435729|https://www.jobbank.gc.ca/jobsearch/jobposting/41435729?source=searchresults|meat cutter - retail or wholesale|July-10-2024|Howard Johnson by Wyndham|Manitoba|Portage la Prairie|Salary: $15.30 hourly
41435727|https://www.jobbank.gc.ca/jobsearch/jobposting/41435727?source=searchresults|food service supervisor|July-10-2024|George's Burgers & Subs|Manitoba|Steinbach|Salary: $16.50 hourly
41435726|https://www.jobbank.gc.ca/jobsearch/jobposting/41435726?source=searchresults|food service counter attendant|July-10-2024|George's Burgers & Subs|Manitoba|Steinbach|Salary: $16.00 hourly
41435724|https://www.jobbank.gc.ca/jobsearch/jobposting/41435724?source=searchresults|cook|July-10-2024|George's Burgers & Subs|Manitoba|Steinbach|Salary: $16.50 hourly
41435554|https://www.jobbank.gc.ca/jobsearch/jobposting/41435554?source=searchresults|office administrator|July-10-2024|10071934 MANITOBA LTD.|Manitoba|Russell|Salary: $25.00 hourly
41435549|https://www.jobbank.gc.ca/jobsearch/jobposting/41435549?source=searchresults|food counter attendant|July-10-2024|10071934 MANITOBA LTD.|Manitoba|Russell|Salary: $15.50 hourly
41435525|https://www.jobbank.gc.ca/jobsearch/jobposting/41435525?source=searchresults|construction helper|July-10-2024|BRIGHTVIEW CONCREATE PUMPING LIMITED|Manitoba|Winnipeg|Salary: $25.00 hourly
41435343|https://www.jobbank.gc.ca/jobsearch/jobposting/41435343?source=searchresults|front desk agent|July-10-2024|Amritsari Kulcha Point Inc|Manitoba|Winnipeg|Salary: $15.30 hourly
41435330|https://www.jobbank.gc.ca/jobsearch/jobposting/41435330?source=searchresults|nanny|July-10-2024|Regala child care giver|Manitoba|Winnipeg|Salary: $15.30 hourly
41435315|https://www.jobbank.gc.ca/jobsearch/jobposting/41435315?source=searchresults|server - food and beverage services|July-10-2024|Amritsari Kulcha Point Inc|Manitoba|Winnipeg|Salary: $25.00 hourly
41435305|https://www.jobbank.gc.ca/jobsearch/jobposting/41435305?source=searchresults|welder|July-10-2024|Kruse Auto Body Ltd.|Manitoba|Winnipeg|Salary: $26.00 hourly
41435298|https://www.jobbank.gc.ca/jobsearch/jobposting/41435298?source=searchresults|exterior cladder|July-10-2024|GSP Custom Homes Ltd.|Manitoba|Winnipeg|Salary: $25.00 hourly
41435156|https://www.jobbank.gc.ca/jobsearch/jobposting/41435156?source=searchresults|drywall installer|July-10-2024|BM UNITED CONSTRUCTION LTD.|Manitoba|Winnipeg|Salary: $26.00 hourly
41435149|https://www.jobbank.gc.ca/jobsearch/jobposting/41435149?source=searchresults|floor covering installer|July-10-2024|Baljeet Kaur|Manitoba|Winnipeg|Salary: $25.00 hourly
