JobId|Link|Job Title|Post Date|Business|Province/State|City|Salary
41441358|https://www.jobbank.gc.ca/jobsearch/jobposting/41441358?source=searchresults|cook|July-11-2024|Dancyn Ltd|New Brunswick|Sackville|Salary: $16.00 hourly
41441338|https://www.jobbank.gc.ca/jobsearch/jobposting/41441338?source=searchresults|food service supervisor|July-11-2024|Dancyn Ltd|New Brunswick|Sackville|Salary: $16.00 hourly
41441317|https://www.jobbank.gc.ca/jobsearch/jobposting/41441317?source=searchresults|chef|July-11-2024|Dancyn Ltd|New Brunswick|Sackville|Salary: $20.00 hourly
41441269|https://www.jobbank.gc.ca/jobsearch/jobposting/41441269?source=searchresults|restaurant manager|July-11-2024|Dancyn Ltd|New Brunswick|Sackville|Salary: $20.00 hourly
41441032|https://www.jobbank.gc.ca/jobsearch/jobposting/41441032?source=searchresults|nail care technician|July-11-2024|V Nails Moncton|New Brunswick|Moncton|Salary: $15.30 hourly
41440907|https://www.jobbank.gc.ca/jobsearch/jobposting/41440907?source=searchresults|apprentice motor vehicle mechanic|July-11-2024|Luc & Benny Muffler Shop (2008) Inc.|New Brunswick|Campbellton|Salary: $17.00 to $19.00 hourly (to be negotiated)
41440881|https://www.jobbank.gc.ca/jobsearch/jobposting/41440881?source=searchresults|apple picker|July-11-2024|Verger Belliveau Orchard ltd.|New Brunswick|Memramcook|Salary: $15.30 hourly
41440481|https://www.jobbank.gc.ca/jobsearch/jobposting/41440481?source=searchresults|Off the Road (OTR) tire technician|July-11-2024|Coast Tire & Auto Service Ltd|New Brunswick|Moncton|Salary: $25.00 to $35.00 hourly (to be negotiated)
41440458|https://www.jobbank.gc.ca/jobsearch/jobposting/41440458?source=searchresults|automotive mechanic|July-11-2024|Coast Tire & Auto Service Ltd|New Brunswick|Saint John|Salary: $22.00 to $27.00 hourly (to be negotiated)
41440072|https://www.jobbank.gc.ca/jobsearch/jobposting/41440072?source=searchresults|administrative assistant|July-11-2024|PRINCE LOGISTIC SERVICES|New Brunswick|Bouctouche|Salary: $23.00 hourly
