JobId|Link|Job Title|Post Date|Business|Province/State|City|Salary
41441279|https://www.jobbank.gc.ca/jobsearch/jobposting/41441279?source=searchresults|food counter attendant|July-11-2024|MAJES TEA INC|Newfoundland|Mount Pearl|Salary: $16.00 hourly
41441004|https://www.jobbank.gc.ca/jobsearch/jobposting/41441004?source=searchresults|driver, truck|July-11-2024|Dooley's Trucking|Newfoundland|St. John's|Salary: $18.00 to $22.00 hourly (to be negotiated)
41440991|https://www.jobbank.gc.ca/jobsearch/jobposting/41440991?source=searchresults|truck driver, truck-trailer|July-11-2024|Dooley's Trucking|Newfoundland|Mount Pearl|Salary: $21.00 to $23.50 hourly (to be negotiated)
41440480|https://www.jobbank.gc.ca/jobsearch/jobposting/41440480?source=searchresults|supervisor, parts service|July-11-2024|Route 460 Powersports  Honda|Newfoundland|Stephenville|Salary: $18.00 to $20.00 hourly (to be negotiated)
41440032|https://www.jobbank.gc.ca/jobsearch/jobposting/41440032?source=searchresults|retail shelf stocker|July-11-2024|Rodway's Printing & Office Supplies|Newfoundland|Clarenville|Salary: $16.00 hourly
41439938|https://www.jobbank.gc.ca/jobsearch/jobposting/41439938?source=searchresults|carpenter|July-11-2024|Bay Steel Inc.|Newfoundland|Holyrood|Salary: $25.00 to $30.00 hourly (to be negotiated)
41439733|https://www.jobbank.gc.ca/jobsearch/jobposting/41439733?source=searchresults|hydrovac truck operator|July-11-2024|Pardy's Waste Management & Industural Services|Newfoundland|Happy Valley-Goose Bay|Salary: $25.78 to $28.33 hourly (to be negotiated)
41439544|https://www.jobbank.gc.ca/jobsearch/jobposting/41439544?source=searchresults|development officer - fundraising|July-11-2024|Memorial University of Newfoundland and Labrador|Newfoundland|St. John's|Salary: $63,099.00 to $86,042.00 annually (to be negotiated)
41439535|https://www.jobbank.gc.ca/jobsearch/jobposting/41439535?source=searchresults|registered nurse (R.N.)|July-11-2024|Western Regional Health Authority|Newfoundland|Corner Brook|Salary: $75,303.85 to $93,794.32 annually (to be negotiated)
41439276|https://www.jobbank.gc.ca/jobsearch/jobposting/41439276?source=searchresults|cook|July-11-2024|Western Regional Health Authority|Newfoundland|Corner Brook|Salary: $26.39 to $29.22 hourly (to be negotiated)
41439275|https://www.jobbank.gc.ca/jobsearch/jobposting/41439275?source=searchresults|journeyman/woman plumber|July-11-2024|Western Regional Health Authority|Newfoundland|Grand Bay East|Salary: $27.07 to $30.07 hourly (to be negotiated)
41439263|https://www.jobbank.gc.ca/jobsearch/jobposting/41439263?source=searchresults|licensed practical nurse (L.P.N.)|July-11-2024|Western Regional Health Authority|Newfoundland|Corner Brook|Salary: $29.09 to $32.03 hourly (to be negotiated)
41439262|https://www.jobbank.gc.ca/jobsearch/jobposting/41439262?source=searchresults|registered nurse (R.N.)|July-11-2024|Western Regional Health Authority|Newfoundland|Corner Brook|Salary: $75,303.85 to $93,794.32 annually (to be negotiated)
41435659|https://www.jobbank.gc.ca/jobsearch/jobposting/41435659?source=searchresults|kitchen helper|July-10-2024|Marsh's Take Out (1994) Limited|Newfoundland|Bonavista|Salary: $15.60 hourly
41435106|https://www.jobbank.gc.ca/jobsearch/jobposting/41435106?source=searchresults|server - food and beverage services|July-10-2024|Sunnyslope Foods Inc|Newfoundland|Labrador City|Salary: $15.60 hourly
41434821|https://www.jobbank.gc.ca/jobsearch/jobposting/41434821?source=searchresults|pediatrician|July-10-2024|Newfoundland and Labrador Health Services - Central Zone|Newfoundland|Gander|Salary: $263,672.00 to $285,596.00 annually (to be negotiated)
41434385|https://www.jobbank.gc.ca/jobsearch/jobposting/41434385?source=searchresults|food counter attendant|July-10-2024|North Atlantic Sushi Inc.|Newfoundland|Mount Pearl|Salary: $15.60 hourly
41434058|https://www.jobbank.gc.ca/jobsearch/jobposting/41434058?source=searchresults|personal care attendant - medical|July-10-2024|Cozy Quarters Personal Care Home Limited|Newfoundland|Clarenville|Salary: $17.50 to $18.00 hourly (to be negotiated)
41434047|https://www.jobbank.gc.ca/jobsearch/jobposting/41434047?source=searchresults|cook, second|July-10-2024|Cozy Quarters Retirement Centre Limited|Newfoundland|Clarenville|Salary: $17.25 to $17.50 hourly (to be negotiated)
41434018|https://www.jobbank.gc.ca/jobsearch/jobposting/41434018?source=searchresults|delivery driver|July-10-2024|Canadian Diabetes Association|Newfoundland|Mount Pearl|Salary: $17.75 hourly
41434010|https://www.jobbank.gc.ca/jobsearch/jobposting/41434010?source=searchresults|personal support worker - home support|July-10-2024|Sherry Turner|Newfoundland|Happy Valley-Goose Bay|Salary: $18.63 hourly
41433953|https://www.jobbank.gc.ca/jobsearch/jobposting/41433953?source=searchresults|front end supervisor - retail|July-10-2024|Ever Green Environmental Corporation|Newfoundland|St. John's|Salary: $16.50 hourly
41433595|https://www.jobbank.gc.ca/jobsearch/jobposting/41433595?source=searchresults|office administrative assistant|July-10-2024|South Park Driving School Inc.|Newfoundland|St. John's|Salary: $24.10 hourly
41433593|https://www.jobbank.gc.ca/jobsearch/jobposting/41433593?source=searchresults|attendant, take-out - fast food|July-10-2024|R&M Food Services Ltd|Newfoundland|Conception Bay South|Salary: $15.60 hourly
41433587|https://www.jobbank.gc.ca/jobsearch/jobposting/41433587?source=searchresults|administration officer|July-10-2024|South Park Driving School Inc.|Newfoundland|St. John's|Salary: $28.72 hourly
41433326|https://www.jobbank.gc.ca/jobsearch/jobposting/41433326?source=searchresults|general construction labourer|July-10-2024|Bay Steel Inc.|Newfoundland|Holyrood|Salary: $17.00 to $24.00 hourly (to be negotiated)
41433309|https://www.jobbank.gc.ca/jobsearch/jobposting/41433309?source=searchresults|housekeeping manager|July-10-2024|Quin-Sea Fisheries|Newfoundland|Old Perlican|Salary: $750.00 weekly
41433303|https://www.jobbank.gc.ca/jobsearch/jobposting/41433303?source=searchresults|fish processing supervisor|July-10-2024|Dandy Dan's Fish Market Ltd.|Newfoundland|Ship Harbour|Salary: $19.00 hourly
41432884|https://www.jobbank.gc.ca/jobsearch/jobposting/41432884?source=searchresults|front desk clerk, hotel|July-10-2024|Marble Resort Development Ltd.|Newfoundland|Corner Brook|Salary: $16.50 hourly
41432513|https://www.jobbank.gc.ca/jobsearch/jobposting/41432513?source=searchresults|primary school teacher|July-10-2024|Catholic School Foundation of Corner Brook Inc.|Newfoundland|Corner Brook|Salary: $1,300.00 biweekly
41432490|https://www.jobbank.gc.ca/jobsearch/jobposting/41432490?source=searchresults|early childhood educator (E.C.E.)|July-10-2024|Daybreak Parent Child Centre Association|Newfoundland|St. John's|Salary: $21.68 to $35.09 hourly (to be negotiated)
41432430|https://www.jobbank.gc.ca/jobsearch/jobposting/41432430?source=searchresults|marketing project manager|July-10-2024|Fifth Wheel Transport Ltd|Newfoundland|Portugal Cove-St. Philip's|Salary: $27.00 hourly
41432431|https://www.jobbank.gc.ca/jobsearch/jobposting/41432431?source=searchresults|administrative assistant|July-10-2024|Fifth Wheel Transport Ltd|Newfoundland|Portugal Cove-St. Philip's|Salary: $25.00 hourly
41432218|https://www.jobbank.gc.ca/jobsearch/jobposting/41432218?source=searchresults|roofer|July-10-2024|Atlas-Apex Roofing (NL) Inc.|Newfoundland|Paradise|Salary: $22.50 to $35.00 hourly (to be negotiated)
41432195|https://www.jobbank.gc.ca/jobsearch/jobposting/41432195?source=searchresults|siding installer|July-10-2024|KeoCan Industries|Newfoundland|St. John's|Salary: $20.00 to $27.00 hourly (to be negotiated)
41432180|https://www.jobbank.gc.ca/jobsearch/jobposting/41432180?source=searchresults|framer-carpenter|July-10-2024|KeoCan Industries|Newfoundland|St. John's|Salary: $23.00 to $30.00 hourly (to be negotiated)
41432155|https://www.jobbank.gc.ca/jobsearch/jobposting/41432155?source=searchresults|medical clinic assistant|July-10-2024|Dr. Thomas Chung Professional Medical Corporation|Newfoundland|Gander|Salary: $17.00 to $18.00 hourly (to be negotiated)
41432149|https://www.jobbank.gc.ca/jobsearch/jobposting/41432149?source=searchresults|store clerk|July-10-2024|Great Canadian Dollar Store|Newfoundland|Gander|Salary: $15.60 hourly
41430975|https://www.jobbank.gc.ca/jobsearch/jobposting/41430975?source=searchresults|cashier, customer service|July-10-2024|Deluxe Dry Cleaners|Newfoundland|St. John's|Salary: $16.50 hourly
41430957|https://www.jobbank.gc.ca/jobsearch/jobposting/41430957?source=searchresults|customer service cashier|July-10-2024|Premium Enterprises Limited|Newfoundland|Deer Lake|Salary: $15.60 to $16.00 hourly (to be negotiated)
41430956|https://www.jobbank.gc.ca/jobsearch/jobposting/41430956?source=searchresults|social worker|July-10-2024|Western Regional Health Authority|Newfoundland|Corner Brook|Salary: $73,983.00 to $82,797.00 annually (to be negotiated)
41428206|https://www.jobbank.gc.ca/jobsearch/jobposting/41428206?source=searchresults|marketing project manager|July-09-2024|Gladney's Bus Limited|Newfoundland|Portugal Cove-St. Philip's|Salary: $27.00 hourly
41427536|https://www.jobbank.gc.ca/jobsearch/jobposting/41427536?source=searchresults|registered nurse (R.N.)|July-09-2024|Western Regional Health Authority|Newfoundland|Corner Brook|Salary: $73,827.30 to $91,955.22 annually (to be negotiated)
41427521|https://www.jobbank.gc.ca/jobsearch/jobposting/41427521?source=searchresults|social worker|July-09-2024|Western Regional Health Authority|Newfoundland|Corner Brook|Salary: $73,983.00 to $82,797.00 annually (to be negotiated)
41427490|https://www.jobbank.gc.ca/jobsearch/jobposting/41427490?source=searchresults|shingler|July-09-2024|RoofTech Systems Ltd.|Newfoundland|Mount Pearl|Salary: $25.00 to $35.00 hourly (to be negotiated)
41427473|https://www.jobbank.gc.ca/jobsearch/jobposting/41427473?source=searchresults|front desk agent|July-09-2024|Murray Premises Hotel Inc|Newfoundland|St. John's|Salary: $15.60 to $15.80 hourly (to be negotiated)
41427158|https://www.jobbank.gc.ca/jobsearch/jobposting/41427158?source=searchresults|bartender|July-09-2024|Baba Q's Smoke & Grill Restaurant Ltd|Newfoundland|Labrador City|Salary: $15.60 to $17.00 hourly (to be negotiated)
41427137|https://www.jobbank.gc.ca/jobsearch/jobposting/41427137?source=searchresults|waiter/waitress|July-09-2024|Baba Q's Smoke & Grill Restaurant Ltd|Newfoundland|Labrador City|Salary: $15.60 hourly
41427128|https://www.jobbank.gc.ca/jobsearch/jobposting/41427128?source=searchresults|line cook|July-09-2024|Baba Q's Smoke & Grill Restaurant Ltd|Newfoundland|Labrador City|Salary: $16.00 hourly
41427077|https://www.jobbank.gc.ca/jobsearch/jobposting/41427077?source=searchresults|foundation drill operator|July-09-2024|Weir's Construction Limited|Newfoundland|St. John's|Salary: $20.00 to $25.00 hourly (to be negotiated)
