JobId|Link|Job Title|Post Date|Business|Province/State|City|Salary
41440035|https://www.jobbank.gc.ca/jobsearch/jobposting/41440035?source=searchresults|baker|July-11-2024|Golden Chicken Inc|Nova Scotia|Sydney|Salary: $15.50 hourly
41440036|https://www.jobbank.gc.ca/jobsearch/jobposting/41440036?source=searchresults|chef|July-11-2024|Golden Chicken Inc|Nova Scotia|Sydney|Salary: $20.00 hourly
41440031|https://www.jobbank.gc.ca/jobsearch/jobposting/41440031?source=searchresults|restaurant manager|July-11-2024|Golden Chicken Inc|Nova Scotia|Sydney|Salary: $19.50 hourly
41440034|https://www.jobbank.gc.ca/jobsearch/jobposting/41440034?source=searchresults|cook|July-11-2024|Golden Chicken Inc|Nova Scotia|Sydney|Salary: $15.50 hourly
41440001|https://www.jobbank.gc.ca/jobsearch/jobposting/41440001?source=searchresults|community service worker|July-11-2024|Annapolis County Municipal Housing Corporation|Nova Scotia|Bridgetown|Salary: $19.99 to $20.33 hourly (to be negotiated)
41439961|https://www.jobbank.gc.ca/jobsearch/jobposting/41439961?source=searchresults|harvesting labourer|July-11-2024|TapRoot Farms Inc.|Nova Scotia|Port Williams|Salary: $15.20 hourly
41439753|https://www.jobbank.gc.ca/jobsearch/jobposting/41439753?source=searchresults|catering supervisor|July-11-2024|The Simon Hotel Sydney|Nova Scotia|Sydney|Salary: $40,000.00 annually
41439726|https://www.jobbank.gc.ca/jobsearch/jobposting/41439726?source=searchresults|supermarket department supervisor|July-11-2024|NOVIN CASPIAN LTD|Nova Scotia|Halifax|Salary: $17.00 to $20.15 hourly (to be negotiated)
41439282|https://www.jobbank.gc.ca/jobsearch/jobposting/41439282?source=searchresults|dock carpenter|July-11-2024|PEL GENERAL CONTRACTING|Nova Scotia|Cornwallis Park|Salary: $18.00 hourly
41439281|https://www.jobbank.gc.ca/jobsearch/jobposting/41439281?source=searchresults|administrative officer|July-11-2024|LCK Immigration Consulting|Nova Scotia|Halifax|Salary: $26.20 to $27.50 hourly (to be negotiated)
41439177|https://www.jobbank.gc.ca/jobsearch/jobposting/41439177?source=searchresults|industrial sewing machine operator|July-11-2024|Levy's Leathers Limited|Nova Scotia|Antigonish|Salary: $15.30 hourly
41436322|https://www.jobbank.gc.ca/jobsearch/jobposting/41436322?source=searchresults|scheduling clerks supervisor|July-11-2024|Advance Plus Tech Solutions Inc.|Nova Scotia|Lower Sackville|Salary: $24.50 hourly
41436321|https://www.jobbank.gc.ca/jobsearch/jobposting/41436321?source=searchresults|inventory clerks supervisor|July-11-2024|Advance Plus Tech Solutions Inc.|Nova Scotia|Lower Sackville|Salary: $23.00 hourly
41435815|https://www.jobbank.gc.ca/jobsearch/jobposting/41435815?source=searchresults|cook|July-10-2024|Genji Sushi|Nova Scotia|Dartmouth|Salary: $15.20 to $17.00 hourly (to be negotiated)
41435709|https://www.jobbank.gc.ca/jobsearch/jobposting/41435709?source=searchresults|landscape labourer|July-10-2024|Andrew MacDonald Landscaping & Tree Service Ltd.|Nova Scotia|Sydney|Salary: $17.00 to $20.00 hourly (to be negotiated)
41435087|https://www.jobbank.gc.ca/jobsearch/jobposting/41435087?source=searchresults|trades dispatcher|July-10-2024|Rhyno's Ltd|Nova Scotia|Bridgewater|Salary: $20.00 to $24.00 hourly (to be negotiated)
41434713|https://www.jobbank.gc.ca/jobsearch/jobposting/41434713?source=searchresults|spa receptionist|July-10-2024|Life SalonSpa Dartmouth|Nova Scotia|Dartmouth|Salary: $15.50 to $17.00 hourly (to be negotiated)
