JobId|Link|Job Title|Post Date|Business|Province/State|City|Salary
41440431|https://www.jobbank.gc.ca/jobsearch/jobposting/41440431?source=searchresults|cook's helper|July-11-2024|ABC Food Services Inc.|Northwest Territories|Yellowknife|Salary: $18.00 to $20.00 hourly (to be negotiated)
41440432|https://www.jobbank.gc.ca/jobsearch/jobposting/41440432?source=searchresults|food and beverage server|July-11-2024|ABC Food Services Inc.|Northwest Territories|Yellowknife|Salary: $16.50 to $17.50 hourly (to be negotiated)
41440430|https://www.jobbank.gc.ca/jobsearch/jobposting/41440430?source=searchresults|cook|July-11-2024|ABC Food Services Inc.|Northwest Territories|Yellowknife|Salary: $20.00 to $22.00 hourly (to be negotiated)
41434328|https://www.jobbank.gc.ca/jobsearch/jobposting/41434328?source=searchresults|cashier|July-10-2024|Circle K|Northwest Territories|Yellowknife|Salary: $17.00 hourly
41433673|https://www.jobbank.gc.ca/jobsearch/jobposting/41433673?source=searchresults|food services manager|July-10-2024|Copper House Eatery + Lounge Inc.|Northwest Territories|Yellowknife|Salary: $20.00 to $24.00 hourly (to be negotiated)
41432949|https://www.jobbank.gc.ca/jobsearch/jobposting/41432949?source=searchresults|Cook supervisor|July-10-2024|116 YK Foods|Northwest Territories|Yellowknife|Salary: $19.00 to $21.00 hourly (to be negotiated)
41432898|https://www.jobbank.gc.ca/jobsearch/jobposting/41432898?source=searchresults|food service attendant|July-10-2024|The Rooster|Northwest Territories|Hay River|Salary: $16.75 hourly
41428263|https://www.jobbank.gc.ca/jobsearch/jobposting/41428263?source=searchresults|shift manager - fast food restaurant|July-09-2024|Soul Restaurants Canada Inc|Northwest Territories|Yellowknife|Salary: $21.00 hourly
41428237|https://www.jobbank.gc.ca/jobsearch/jobposting/41428237?source=searchresults|general construction labourer|July-09-2024|Blades Construction Ltd|Northwest Territories|Fort Smith|Salary: $20.00 to $26.00 hourly (to be negotiated)
41426350|https://www.jobbank.gc.ca/jobsearch/jobposting/41426350?source=searchresults|carpenter|July-09-2024|Wilf's Restoration Ltd.|Northwest Territories|Yellowknife|Salary: $32.00 to $40.00 hourly (to be negotiated)
41424620|https://www.jobbank.gc.ca/jobsearch/jobposting/41424620?source=searchresults|waiter/waitress|July-09-2024|HM Holding Ltd.|Northwest Territories|Yellowknife|Salary: $16.05 hourly
41418844|https://www.jobbank.gc.ca/jobsearch/jobposting/41418844?source=searchresults|food and beverage server|July-08-2024|Black Knight Pub|Northwest Territories|Yellowknife|Salary: $16.05 hourly
41416958|https://www.jobbank.gc.ca/jobsearch/jobposting/41416958?source=searchresults|hotel food and beverage service manager|July-07-2024|Det'on Cho Bouwa Whee Catering LP|Northwest Territories|Yellowknife|Salary: $29.19 hourly
41415300|https://www.jobbank.gc.ca/jobsearch/jobposting/41415300?source=searchresults|food service supervisor|July-06-2024|Black Knight Pub|Northwest Territories|Yellowknife|Salary: $19.04 hourly
41411607|https://www.jobbank.gc.ca/jobsearch/jobposting/41411607?source=searchresults|office administrator|July-05-2024|D&D INVESTMENTS CORP.|Northwest Territories|Yellowknife|Salary: $29.50 hourly
41411604|https://www.jobbank.gc.ca/jobsearch/jobposting/41411604?source=searchresults|food counter attendant|July-05-2024|D&D INVESTMENTS CORP.|Northwest Territories|Yellowknife|Salary: $16.05 hourly
41411601|https://www.jobbank.gc.ca/jobsearch/jobposting/41411601?source=searchresults|cook|July-05-2024|D&D INVESTMENTS CORP.|Northwest Territories|Yellowknife|Salary: $21.00 hourly
41411599|https://www.jobbank.gc.ca/jobsearch/jobposting/41411599?source=searchresults|kitchen helper|July-05-2024|D&D INVESTMENTS CORP.|Northwest Territories|Yellowknife|Salary: $16.05 hourly
