JobId|Link|Job Title|Post Date|Business|Province/State|City|Salary
41409049|https://www.jobbank.gc.ca/jobsearch/jobposting/41409049?source=searchresults|early childhood educator (ECE)|July-05-2024|Inuksuk Infant Development Centre|Nunavut|Iqaluit|Salary: $27.00 to $29.00 hourly (to be negotiated)
41386463|https://www.jobbank.gc.ca/jobsearch/jobposting/41386463?source=searchresults|pharmacy technical assistant|July-02-2024|The North West Company LP|Nunavut|Rankin Inlet|Salary: $23.00 hourly
41367438|https://www.jobbank.gc.ca/jobsearch/jobposting/41367438?source=searchresults|retail store department head|June-28-2024|The North West Company LP|Nunavut|Gjoa Haven|Salary: $50,000.00 annually
41361924|https://www.jobbank.gc.ca/jobsearch/jobposting/41361924?source=searchresults|chef|June-27-2024|HUNTERS MARKET|Nunavut|Iqaluit|Salary: $20.00 hourly
41352514|https://www.jobbank.gc.ca/jobsearch/jobposting/41352514?source=searchresults|grocery clerk|June-26-2024|The North West Company LP|Nunavut|Gjoa Haven|Salary: $19.00 hourly
41429656|https://www.jobbank.gc.ca/jobsearch/jobposting/41429656?source=searchresults|construction equipment mechanic|July-10-2024|ACE Services Mécaniques inc.|Nunavut|Rankin Inlet|Salary: $115,000.00 to $130,000.00 annually
41429761|https://www.jobbank.gc.ca/jobsearch/jobposting/41429761?source=searchresults|mechanic, construction equipment|July-10-2024|ACE Services Mécaniques inc.|Nunavut|Rankin Inlet|Salary: $90,000.00 to $130,000.00 annually
41347253|https://www.jobbank.gc.ca/jobsearch/jobposting/41347253?source=searchresults|pharmacy technical assistant|June-25-2024|The North West Company LP|Nunavut|Iqaluit|Salary: $23.00 hourly
41345856|https://www.jobbank.gc.ca/jobsearch/jobposting/41345856?source=searchresults|cleaning supervisor|June-25-2024|3M Cleaning Services|Nunavut|Iqaluit|Salary: $24.30 hourly
41335250|https://www.jobbank.gc.ca/jobsearch/jobposting/41335250?source=searchresults|hotel clerk supervisor|June-23-2024|902776 N.W.T. Limited|Nunavut|Iqaluit|Salary: $22.88 hourly
41363374|https://www.jobbank.gc.ca/jobsearch/jobposting/41363374?source=searchresults|sous-chef|June-27-2024|Nunastar Properties Inc,|Nunavut|Iqaluit|Salary: $54,000.00 to $62,000.00 annually
41324188|https://www.jobbank.gc.ca/jobsearch/jobposting/41324188?source=searchresults|bar attendant|June-21-2024|902776 N.W.T. Limited|Nunavut|Iqaluit|Salary: $18.00 hourly
41343686|https://www.jobbank.gc.ca/jobsearch/jobposting/41343686?source=searchresults|Inuit Court Worker (Developmental)|June-24-2024|Public Prosecution Service of Canada - Nunavut Regional Office|Nunavut|Iqaluit|Salary: $68,959.00 annually
41417388|https://www.jobbank.gc.ca/jobsearch/jobposting/41417388?source=searchresults|elementary school teacher|July-07-2024|Government of Nunavut|Nunavut|Kugaaruk|Salary not available
41387315|https://www.jobbank.gc.ca/jobsearch/jobposting/41387315?source=searchresults|business education teacher|July-02-2024|Government of Nunavut|Nunavut|Gjoa Haven|Salary not available
41339852|https://www.jobbank.gc.ca/jobsearch/jobposting/41339852?source=searchresults|cleaner|June-24-2024|Nunapro Services|Nunavut|Iqaluit|Salary: $24.00 hourly
41301206|https://www.jobbank.gc.ca/jobsearch/jobposting/41301206?source=searchresults|heavy equipment operator|June-18-2024|Nasittuq Corporation|Nunavut|Grise Fiord|Salary: $51.80 to $54.53 hourly (to be negotiated)
41301203|https://www.jobbank.gc.ca/jobsearch/jobposting/41301203?source=searchresults|general construction labourer|June-18-2024|Nasittuq Corporation|Nunavut|Grise Fiord|Salary: $27.57 to $29.02 hourly (to be negotiated)
41301194|https://www.jobbank.gc.ca/jobsearch/jobposting/41301194?source=searchresults|HVAC (heating, ventilating and air conditioning) mechanics foreman/woman|June-18-2024|Nasittuq Corporation|Nunavut|Grise Fiord|Salary: $61.26 to $64.49 hourly (to be negotiated)
41301189|https://www.jobbank.gc.ca/jobsearch/jobposting/41301189?source=searchresults|heavy equipment mechanic - diesel engine|June-18-2024|Nasittuq Corporation|Nunavut|Grise Fiord|Salary: $53.53 to $56.35 hourly (to be negotiated)
41400775|https://www.jobbank.gc.ca/jobsearch/jobposting/41400775?source=searchresults|social worker|July-04-2024|Government of Nunavut|Nunavut|Kimmirut|Salary not available
41401017|https://www.jobbank.gc.ca/jobsearch/jobposting/41401017?source=searchresults|early childhood educator (ECE)|July-04-2024|Government of Nunavut|Nunavut|Pangnirtung|Salary not available
