JobId|Link|Job Title|Post Date|Business|Province/State|City|Salary
41440051|https://www.jobbank.gc.ca/jobsearch/jobposting/41440051?source=searchresults|warehouseperson|July-11-2024|Atlantic Tire Distributors|Prince Edward Island|Charlottetown|Salary: $16.00 to $19.00 hourly (to be negotiated)
41439773|https://www.jobbank.gc.ca/jobsearch/jobposting/41439773?source=searchresults|architect|July-11-2024|Studio Brehaut Architecture|Prince Edward Island|Murray Harbour|Salary: $25.00 to $30.00 hourly (to be negotiated)
41439266|https://www.jobbank.gc.ca/jobsearch/jobposting/41439266?source=searchresults|food service counter attendant|July-11-2024|Islandsand Holdings Incorporated|Prince Edward Island|Charlottetown|Salary: $15.60 hourly
41439264|https://www.jobbank.gc.ca/jobsearch/jobposting/41439264?source=searchresults|aquaculture worker|July-11-2024|Atlantic Aqua Farms Ltd|Prince Edward Island|Georgetown|Salary: $19.25 hourly
41439258|https://www.jobbank.gc.ca/jobsearch/jobposting/41439258?source=searchresults|store clerk|July-11-2024|Great Canadian Dollar Store|Prince Edward Island|Summerside|Salary: $15.40 hourly
41436323|https://www.jobbank.gc.ca/jobsearch/jobposting/41436323?source=searchresults|material handler|July-11-2024|Advance Plus Tech Solutions Inc.|Prince Edward Island|Charlottetown|Salary: $17.00 hourly
41434336|https://www.jobbank.gc.ca/jobsearch/jobposting/41434336?source=searchresults|food and beverage service manager|July-10-2024|Mill River Resort|Prince Edward Island|O'Leary|Salary: $42,000.00 annually
41433213|https://www.jobbank.gc.ca/jobsearch/jobposting/41433213?source=searchresults|cook|July-10-2024|PIZZA DELIGHT SCORES SUMMERSIDE|Prince Edward Island|Summerside|Salary: $17.00 to $18.00 hourly (to be negotiated)
41432008|https://www.jobbank.gc.ca/jobsearch/jobposting/41432008?source=searchresults|server - food and beverage services|July-10-2024|Fisherman's Wharf Lobster Suppers|Prince Edward Island|North Rustico|Salary: $15.40 hourly
41432007|https://www.jobbank.gc.ca/jobsearch/jobposting/41432007?source=searchresults|gift shop clerk|July-10-2024|Fisherman's Wharf Lobster Suppers|Prince Edward Island|North Rustico|Salary: $15.40 to $16.50 hourly (to be negotiated)
41432006|https://www.jobbank.gc.ca/jobsearch/jobposting/41432006?source=searchresults|cook|July-10-2024|14433548 CANADA INC.|Prince Edward Island|Stratford|Salary: $15.40 to $20.00 hourly (to be negotiated)
41432002|https://www.jobbank.gc.ca/jobsearch/jobposting/41432002?source=searchresults|driver, truck|July-10-2024|J & C Ventures Inc|Prince Edward Island|Charlottetown|Salary: $27.50 hourly
41431989|https://www.jobbank.gc.ca/jobsearch/jobposting/41431989?source=searchresults|optometric assistant|July-10-2024|FVC Holdings|Prince Edward Island|Charlottetown|Salary: $15.40 to $16.40 hourly (to be negotiated)
41431988|https://www.jobbank.gc.ca/jobsearch/jobposting/41431988?source=searchresults|long haul tractor-trailer driver|July-10-2024|Bulk Carriers (P.E.I.) Limited|Prince Edward Island|Clyde River|Salary: $24.00 to $35.00 hourly (to be negotiated)
41428996|https://www.jobbank.gc.ca/jobsearch/jobposting/41428996?source=searchresults|siding installer|July-09-2024|Harper's Exteriors Inc.|Prince Edward Island|Breadalbane|Salary: $18.00 hourly
41427476|https://www.jobbank.gc.ca/jobsearch/jobposting/41427476?source=searchresults|farm worker, general|July-09-2024|Kool Breeze Farms|Prince Edward Island|Summerside|Salary: $17.00 hourly
41426085|https://www.jobbank.gc.ca/jobsearch/jobposting/41426085?source=searchresults|baker|July-09-2024|D & D Brothers Investment Group Limited|Prince Edward Island|Cornwall|Salary: $17.50 hourly
41426015|https://www.jobbank.gc.ca/jobsearch/jobposting/41426015?source=searchresults|landscape labourer|July-09-2024|Seaside Landscaping 2014|Prince Edward Island|Summerside|Salary: $16.00 to $20.00 hourly (to be negotiated)
41426013|https://www.jobbank.gc.ca/jobsearch/jobposting/41426013?source=searchresults|lawn mower|July-09-2024|Seaside Landscaping 2014|Prince Edward Island|Summerside|Salary: $16.00 to $18.00 hourly (to be negotiated)
41426005|https://www.jobbank.gc.ca/jobsearch/jobposting/41426005?source=searchresults|building handyman/woman|July-09-2024|100761PEI Inc|Prince Edward Island|Summerside|Salary: $16.00 to $20.00 hourly (to be negotiated)
41425790|https://www.jobbank.gc.ca/jobsearch/jobposting/41425790?source=searchresults|courier|July-09-2024|J & C Ventures Inc|Prince Edward Island|Charlottetown|Salary: $17.50 hourly
41424640|https://www.jobbank.gc.ca/jobsearch/jobposting/41424640?source=searchresults|painter|July-09-2024|Island Brush Masters|Prince Edward Island|Summerside|Salary: $16.50 to $21.00 hourly (to be negotiated)
41424635|https://www.jobbank.gc.ca/jobsearch/jobposting/41424635?source=searchresults|assistant manager, restaurant|July-09-2024|Abbiocco Modern Italian|Prince Edward Island|Charlottetown|Salary: $22.00 hourly
41424522|https://www.jobbank.gc.ca/jobsearch/jobposting/41424522?source=searchresults|cashier supervisor - retail|July-09-2024|Foodland|Prince Edward Island|Charlottetown|Salary: $16.00 hourly
