JobId|Link|Job Title|Post Date|Business|Province/State|City|Salary
41442133|https://www.jobbank.gc.ca/jobsearch/jobposting/41442133?source=searchresults|automobile mechanic|July-11-2024|Lallier Automobile Hull inc|Quebec|Gatineau|Salary: $20.00 to $30.00 hourly (to be negotiated)
41442104|https://www.jobbank.gc.ca/jobsearch/jobposting/41442104?source=searchresults|live-in nanny|July-11-2024|Gabriel Maatouk, Taline Tutunjian S.E.N.C.|Quebec|Laval|Salary: $15.75 to $16.25 hourly (to be negotiated)
41441863|https://www.jobbank.gc.ca/jobsearch/jobposting/41441863?source=searchresults|automotive body painter|July-11-2024|Fix Auto Blainville|Quebec|Blainville|Salary: $22.00 to $33.00 hourly (to be negotiated)
41441750|https://www.jobbank.gc.ca/jobsearch/jobposting/41441750?source=searchresults|control room operator - food and beverage processing|July-11-2024|Fromagerie Montebello|Quebec|Montebello|Salary: $15.75 hourly
41441748|https://www.jobbank.gc.ca/jobsearch/jobposting/41441748?source=searchresults|cheese maker|July-11-2024|Fromagerie Montebello|Quebec|Montebello|Salary: $15.75 to $19.00 hourly (to be negotiated)
41441330|https://www.jobbank.gc.ca/jobsearch/jobposting/41441330?source=searchresults|bus refueler|July-11-2024|Roger Maheux Ltée|Quebec|Rouyn-Noranda|Salary: $20.00 hourly
41441305|https://www.jobbank.gc.ca/jobsearch/jobposting/41441305?source=searchresults|electrician|July-11-2024|M.Meilleur electrique inc|Quebec|Val-David|Salary: $42.00 hourly
41441290|https://www.jobbank.gc.ca/jobsearch/jobposting/41441290?source=searchresults|bus mechanic|July-11-2024|Roger Maheux Ltée|Quebec|Rouyn-Noranda|Salary: $26.00 to $32.00 hourly (to be negotiated)
41441271|https://www.jobbank.gc.ca/jobsearch/jobposting/41441271?source=searchresults|plastic bag machine operator|July-11-2024|Gould Packaging Industries Ltee|Quebec|Anjou|Salary: $220.00 hourly
41440493|https://www.jobbank.gc.ca/jobsearch/jobposting/41440493?source=searchresults|supervisor, unit clerks|July-11-2024|9085-1379 quebec inc.|Quebec|Québec|Salary: $16.00 hourly
41440451|https://www.jobbank.gc.ca/jobsearch/jobposting/41440451?source=searchresults|building handyperson|July-11-2024|CDI Habitation|Quebec|Trois-Rivières|Salary: $19.00 hourly
41440426|https://www.jobbank.gc.ca/jobsearch/jobposting/41440426?source=searchresults|marketing coordinator|July-11-2024|9308-8649 Québec inc.|Quebec|Saint-Pie|Salary: $32.00 hourly
41440419|https://www.jobbank.gc.ca/jobsearch/jobposting/41440419?source=searchresults|machinist|July-11-2024|Services Mécaniques Larrivée inc.|Quebec|Nouvelle|Salary: $30.00 to $35.00 hourly (to be negotiated)
41440405|https://www.jobbank.gc.ca/jobsearch/jobposting/41440405?source=searchresults|president - financial, communications and other business services|July-11-2024|Tormon Executive Search Limited|Quebec|Saint-Laurent|Salary: $100,000.00 annually
41440144|https://www.jobbank.gc.ca/jobsearch/jobposting/41440144?source=searchresults|marine surveyor|July-11-2024|Control Union Canada Inc.|Quebec|Sept-Îles|Salary: $70,000.00 annually
41440077|https://www.jobbank.gc.ca/jobsearch/jobposting/41440077?source=searchresults|ECE assistant|July-11-2024|Garderie éducative sur les traces de Bambi Inc.|Quebec|Longueuil|Salary: $19.86 hourly
41440066|https://www.jobbank.gc.ca/jobsearch/jobposting/41440066?source=searchresults|outside sales representative|July-11-2024|Tormon Executive Search Limited|Quebec|Saint-Laurent|Salary: $48,000.00 to $75,000.00 annually (to be negotiated)
41439950|https://www.jobbank.gc.ca/jobsearch/jobposting/41439950?source=searchresults|medical orderly|July-11-2024|AGENCE SYLDREA SANTÉ|Quebec|Longueuil|Salary: $26.50 hourly
41439936|https://www.jobbank.gc.ca/jobsearch/jobposting/41439936?source=searchresults|delivery truck driver|July-11-2024|TRANSPORT DJOULIA INC|Quebec|Longueuil|Salary: $21.00 to $26.00 hourly (to be negotiated)
41439934|https://www.jobbank.gc.ca/jobsearch/jobposting/41439934?source=searchresults|housekeeper (except private households)|July-11-2024|Hôtel Royal William|Quebec|Québec|Salary: $16.75 hourly
41439933|https://www.jobbank.gc.ca/jobsearch/jobposting/41439933?source=searchresults|gardening helper, landscape|July-11-2024|Jardin des passionnées|Quebec|Sainte-Béatrix|Salary: $15.25 hourly
41439818|https://www.jobbank.gc.ca/jobsearch/jobposting/41439818?source=searchresults|helper, physiotherapy|July-11-2024|Sport Physio St-Laurent Inc|Quebec|Saint-Laurent|Salary: $17.50 to $22.50 hourly (to be negotiated)
41439802|https://www.jobbank.gc.ca/jobsearch/jobposting/41439802?source=searchresults|daycare teacher|July-11-2024|Garderie des enfants Modèles et Montessori|Quebec|Saint-Léonard|Salary: $18.95 to $30.03 hourly (to be negotiated)
41439803|https://www.jobbank.gc.ca/jobsearch/jobposting/41439803?source=searchresults|fuel oil truck driver|July-11-2024|UNITED PETROLEUM TRANSPORT LTD|Quebec|Pointe-aux-Trembles|Salary: $32.00 hourly
41439796|https://www.jobbank.gc.ca/jobsearch/jobposting/41439796?source=searchresults|kitchen helper|July-11-2024|GESTION SEDZ INC.|Quebec|Montréal|Salary: $16.00 to $17.00 hourly (to be negotiated)
41439794|https://www.jobbank.gc.ca/jobsearch/jobposting/41439794?source=searchresults|daycare teacher|July-11-2024|Garderie MonTi'Sourire|Quebec|Montréal|Salary: $17.00 to $21.00 hourly (to be negotiated)
41439784|https://www.jobbank.gc.ca/jobsearch/jobposting/41439784?source=searchresults|personal care provider - home care|July-11-2024|Mrs. Hoang|Quebec|Laval|Salary: $630.00 weekly
41439785|https://www.jobbank.gc.ca/jobsearch/jobposting/41439785?source=searchresults|babysitter|July-11-2024|Helen Alexandridis|Quebec|Blainville|Salary: $15.75 hourly
41439775|https://www.jobbank.gc.ca/jobsearch/jobposting/41439775?source=searchresults|supervisor - retail|July-11-2024|Sobeys Inc.|Quebec|Rivière-du-Loup|Salary: $15.75 to $20.60 hourly (to be negotiated)
41439774|https://www.jobbank.gc.ca/jobsearch/jobposting/41439774?source=searchresults|DBA (database analyst)|July-11-2024|Conseillers en gestion et informatique CGI Inc.|Quebec|Montréal|Salary: $70,000.00 to $85,000.00 annually (to be negotiated)
41439736|https://www.jobbank.gc.ca/jobsearch/jobposting/41439736?source=searchresults|sandblaster - metal products manufacturing|July-11-2024|JMY|Quebec|La Baie|Salary: $24.00 to $30.00 hourly (to be negotiated)
41439735|https://www.jobbank.gc.ca/jobsearch/jobposting/41439735?source=searchresults|administrative assistant|July-11-2024|9445-8700 Québec Inc|Quebec|Montréal|Salary: $21.00 hourly
41439714|https://www.jobbank.gc.ca/jobsearch/jobposting/41439714?source=searchresults|technical sales specialist|July-11-2024|Recrute Action Inc.|Quebec|Montréal|Salary: $24.00 to $25.00 hourly (to be negotiated)
41439686|https://www.jobbank.gc.ca/jobsearch/jobposting/41439686?source=searchresults|assistant waiter/waitress - food and beverage services|July-11-2024|SUBWAY ST-EUSTACHE|Quebec|Saint-Eustache|Salary: $15.75 hourly
41439692|https://www.jobbank.gc.ca/jobsearch/jobposting/41439692?source=searchresults|handyman/woman|July-11-2024|RESIDENCE ESTHER BLONDIN|Quebec|Rigaud|Salary: $15.75 hourly
41439678|https://www.jobbank.gc.ca/jobsearch/jobposting/41439678?source=searchresults|assistant waiter/waitress - food and beverage services|July-11-2024|SUBWAY TERREBONNE|Quebec|Terrebonne|Salary: $15.75 hourly
