JobId|Link|Job Title|Post Date|Business|Province/State|City|Salary
41439959|https://www.jobbank.gc.ca/jobsearch/jobposting/41439959?source=searchresults|food counter attendant|July-11-2024|102095871 Saskatchewan Ltd|Saskatchewan|Swift Current|Salary: $14.50 hourly
41435528|https://www.jobbank.gc.ca/jobsearch/jobposting/41435528?source=searchresults|auto detailer|July-10-2024|Centennial Ford Sales Ltd.|Saskatchewan|Watrous|Salary: $14.00 to $17.00 hourly (to be negotiated)
41435518|https://www.jobbank.gc.ca/jobsearch/jobposting/41435518?source=searchresults|food service supervisor|July-10-2024|Dogg House Tavern|Saskatchewan|Saskatoon|Salary: $14.10 hourly
41435506|https://www.jobbank.gc.ca/jobsearch/jobposting/41435506?source=searchresults|office administrative assistant|July-10-2024|Denali Transport Inc|Saskatchewan|RM of Sherwood|Salary: $24.50 hourly
41435332|https://www.jobbank.gc.ca/jobsearch/jobposting/41435332?source=searchresults|administrative assistant|July-10-2024|Figure Tax Corporation|Saskatchewan|Regina|Salary: $24.50 hourly
41435329|https://www.jobbank.gc.ca/jobsearch/jobposting/41435329?source=searchresults|truck driver|July-10-2024|101238904 SK LTD|Saskatchewan|Regina|Salary: $27.00 hourly
41435304|https://www.jobbank.gc.ca/jobsearch/jobposting/41435304?source=searchresults|accounting technician|July-10-2024|R.G. BROWN CPA PROF. CORP, CK THOMPSON HOLDINGS LTD., W.M. THOMPSON CPA PROF CORP|Saskatchewan|Prince Albert|Salary: $27.50 hourly
41435301|https://www.jobbank.gc.ca/jobsearch/jobposting/41435301?source=searchresults|site superintendent, construction|July-10-2024|Silverline Construction Ltd|Saskatchewan|Swift Current|Salary: $28.00 to $33.00 hourly (to be negotiated)
41435300|https://www.jobbank.gc.ca/jobsearch/jobposting/41435300?source=searchresults|marketing director|July-10-2024|AYAT MATTRESS MANUFACTURING LIMITED|Saskatchewan|Saskatoon|Salary: $41.59 hourly
41435136|https://www.jobbank.gc.ca/jobsearch/jobposting/41435136?source=searchresults|warehouse associate|July-10-2024|Masterfeeds Inc.|Saskatchewan|Saskatoon|Salary: $18.00 to $20.00 hourly (to be negotiated)
41435135|https://www.jobbank.gc.ca/jobsearch/jobposting/41435135?source=searchresults|customer service clerk|July-10-2024|Masterfeeds Inc.|Saskatchewan|Humboldt|Salary: $17.50 to $19.50 hourly (to be negotiated)
41435133|https://www.jobbank.gc.ca/jobsearch/jobposting/41435133?source=searchresults|office manager|July-10-2024|AYAT MATTRESS MANUFACTURING LIMITED|Saskatchewan|Saskatoon|Salary: $27.00 hourly
41435130|https://www.jobbank.gc.ca/jobsearch/jobposting/41435130?source=searchresults|sales supervisor - retail|July-10-2024|AYAT MATTRESS MANUFACTURING LIMITED|Saskatchewan|Saskatoon|Salary: $21.15 hourly
41435129|https://www.jobbank.gc.ca/jobsearch/jobposting/41435129?source=searchresults|cleaning supervisor|July-10-2024|Macaranas Cleaning Ltd|Saskatchewan|Regina|Salary: $25.00 hourly
41435124|https://www.jobbank.gc.ca/jobsearch/jobposting/41435124?source=searchresults|administrative officer|July-10-2024|AYAT MATTRESS MANUFACTURING LIMITED|Saskatchewan|Saskatoon|Salary: $27.00 hourly
41434371|https://www.jobbank.gc.ca/jobsearch/jobposting/41434371?source=searchresults|administrative assistant|July-10-2024|Paradise Hill Gas Station|Saskatchewan|Paradise Hill|Salary: $24.60 to $27.00 hourly (to be negotiated)
41434025|https://www.jobbank.gc.ca/jobsearch/jobposting/41434025?source=searchresults|early childhood educator (ECE)|July-10-2024|Creighton Community Daycare Inc.|Saskatchewan|Creighton|Salary: $14.00 to $25.50 hourly (to be negotiated)
41433942|https://www.jobbank.gc.ca/jobsearch/jobposting/41433942?source=searchresults|retail store supervisor|July-10-2024|Kindersley Shell & Car Wash|Saskatchewan|Kindersley|Salary: $21.15 hourly
41433922|https://www.jobbank.gc.ca/jobsearch/jobposting/41433922?source=searchresults|food service supervisor|July-10-2024|Carlyle Family Foods|Saskatchewan|Carlyle|Salary: $15.00 to $18.00 hourly (to be negotiated)
41433667|https://www.jobbank.gc.ca/jobsearch/jobposting/41433667?source=searchresults|chore hand - agriculture|July-10-2024|Aber-Bel Farms Ltd.|Saskatchewan|North Battleford|Salary: $15.00 to $18.00 hourly (to be negotiated)
41433638|https://www.jobbank.gc.ca/jobsearch/jobposting/41433638?source=searchresults|apprentice plumber|July-10-2024|Tag's Plumbing & Heating Ltd.|Saskatchewan|Esterhazy|Salary: $18.00 to $30.00 hourly (to be negotiated)
41433633|https://www.jobbank.gc.ca/jobsearch/jobposting/41433633?source=searchresults|journeyman/woman refrigeration and air conditioning mechanic|July-10-2024|Tag's Plumbing & Heating Ltd.|Saskatchewan|Esterhazy|Salary: $31.00 to $41.00 hourly (to be negotiated)
41433626|https://www.jobbank.gc.ca/jobsearch/jobposting/41433626?source=searchresults|food counter attendant|July-10-2024|Greg Crisanti Ltd.|Saskatchewan|Moosomin|Salary: $14.50 hourly
41433619|https://www.jobbank.gc.ca/jobsearch/jobposting/41433619?source=searchresults|food service supervisor|July-10-2024|Greg Crisanti Ltd.|Saskatchewan|Moosomin|Salary: $15.00 hourly
41433612|https://www.jobbank.gc.ca/jobsearch/jobposting/41433612?source=searchresults|shift manager - fast food restaurant|July-10-2024|102014930 Saskatchewan Inc.|Saskatchewan|Saskatoon|Salary: $15.85 hourly
41433594|https://www.jobbank.gc.ca/jobsearch/jobposting/41433594?source=searchresults|construction labourer|July-10-2024|Silverline Construction Ltd|Saskatchewan|Swift Current|Salary: $18.00 to $22.00 hourly (to be negotiated)
41433589|https://www.jobbank.gc.ca/jobsearch/jobposting/41433589?source=searchresults|apprentice carpenter|July-10-2024|Silverline Construction Ltd|Saskatchewan|Swift Current|Salary: $21.00 to $25.00 hourly (to be negotiated)
41433438|https://www.jobbank.gc.ca/jobsearch/jobposting/41433438?source=searchresults|administrative assistant|July-10-2024|Gillz Transport Ltd.|Saskatchewan|Saskatoon|Salary: $25.00 hourly
41433333|https://www.jobbank.gc.ca/jobsearch/jobposting/41433333?source=searchresults|plumber helper|July-10-2024|Pro-Western Mechanical Ltd.|Saskatchewan|Saskatoon|Salary: $20.00 hourly
41433312|https://www.jobbank.gc.ca/jobsearch/jobposting/41433312?source=searchresults|accounting clerk|July-10-2024|VJ Management Inc.|Saskatchewan|Saskatoon|Salary: $22.50 hourly
41433304|https://www.jobbank.gc.ca/jobsearch/jobposting/41433304?source=searchresults|long haul truck driver|July-10-2024|PASSIONATE GLOBAL LOGISTICS LIMITED|Saskatchewan|Regina|Salary: $60,000.00 to $100,000.00 annually (to be negotiated)
41433280|https://www.jobbank.gc.ca/jobsearch/jobposting/41433280?source=searchresults|kennel attendant|July-10-2024|Prince Albert Society for the Prevention of Cruelty to Animals|Saskatchewan|Prince Albert|Salary: $14.00 hourly
41433230|https://www.jobbank.gc.ca/jobsearch/jobposting/41433230?source=searchresults|construction worker|July-10-2024|1000638349 Ontario Inc|Saskatchewan|Saskatoon|Salary: $36,000.00 annually
41433228|https://www.jobbank.gc.ca/jobsearch/jobposting/41433228?source=searchresults|front desk hotel clerk|July-10-2024|1000638349 Ontario Inc|Saskatchewan|Saskatoon|Salary: $36,000.00 annually
